loan_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,purpose,dti,loan_status
6675,36 months,19.135544337708914,106.44146537850584,B,3-5 years,OWN,35540,small_business,13.780309667818692,Fully Paid
1161,60 months,8.340838158018997,8.06976091788338,D,< 1 year,OWN,92255,car,1.6530460547649328,Fully Paid
38065,60 months,8.352384325766353,264.9445911335802,C,10+ years,OWN,84757,home_improvement,12.806841834699078,Fully Paid
27557,60 months,5.733428538670859,131.6634085334607,E,< 1 year,OTHER,61203,debt_consolidation,14.070748191536506,Fully Paid
34763,36 months,19.72804030131281,571.5048874954476,G,10+ years,MORTGAGE,45081,credit_card,27.85666598682408,Fully Paid
33606,36 months,18.276090552436102,511.821915920973,A,5-10 years,OWN,81861,credit_card,19.232583107464784,Charged Off
12534,36 months,14.492617514996278,151.37538994413612,E,5-10 years,RENT,31350,debt_consolidation,9.349587499639467,Fully Paid
30127,60 months,21.883408979383944,549.4012186015834,F,10+ years,RENT,75512,credit_card,15.759547933521642,Fully Paid
26851,60 months,21.113403059001065,472.429987947698,B,3-5 years,OTHER,76809,credit_card,1.981659234664802,Fully Paid
2016,60 months,16.707087287935042,28.067906643730876,F,< 1 year,RENT,121894,debt_consolidation,29.177047069492104,Charged Off
25253,36 months,22.365425610265174,470.6617441133554,D,< 1 year,OWN,117557,debt_consolidation,10.80179705792178,Charged Off
25276,36 months,9.116824200735365,192.03070708148925,D,5-10 years,RENT,62832,home_improvement,14.336020647394074,Fully Paid
24247,60 months,7.2383923879545575,146.25775019227845,B,10+ years,OWN,48369,home_improvement,10.658519227107679,Fully Paid
25300,36 months,10.394992230339792,219.16108618966393,C,< 1 year,RENT,51728,debt_consolidation,20.475351903486004,Fully Paid
9529,36 months,6.1417371217862975,48.77051086125136,C,< 1 year,MORTGAGE,37576,small_business,19.866964749887792,Charged Off
18262,36 months,15.62339056002064,237.76196533924744,D,3-5 years,OTHER,49001,credit_card,21.45966931587407,Fully Paid
10268,36 months,23.732113845899228,203.0677874747444,D,1-3 years,OTHER,147625,home_improvement,8.044296888357625,Fully Paid
22271,60 months,5.786870813370193,107.3994999038063,G,5-10 years,MORTGAGE,103384,credit_card,9.47005443492198,Fully Paid
13185,36 months,7.442198280200536,81.7711536037034,A,5-10 years,MORTGAGE,20390,car,3.7575369328862385,Fully Paid
22243,36 months,14.043980565668706,260.31688310180755,G,1-3 years,OTHER,107535,debt_consolidation,19.665299155383376,Charged Off
9571,36 months,23.6775003505581,188.84779654599296,G,< 1 year,MORTGAGE,65436,small_business,1.1939138200695765,Fully Paid
39044,36 months,11.32312209953501,368.4166493785374,C,3-5 years,OWN,31569,car,17.930470065703773,Fully Paid
3568,60 months,15.144696173767848,45.03022995666973,B,3-5 years,RENT,33029,car,26.090876545549015,Fully Paid
3027,60 months,5.831457181007842,14.70985073909228,C,5-10 years,OTHER,42490,car,26.724964448689008,Fully Paid
3695,36 months,7.966864019241777,24.531302125915307,A,3-5 years,MORTGAGE,65875,debt_consolidation,13.471132811098851,Charged Off
6258,36 months,24.73260245917694,128.98052182460773,F,1-3 years,OWN,143552,home_improvement,13.779110646392214,Fully Paid
23002,36 months,24.30237392872091,465.836004257032,D,< 1 year,OTHER,120864,debt_consolidation,2.309075490240521,Charged Off
34159,36 months,5.098799618688192,145.14158014564163,D,1-3 years,MORTGAGE,25867,home_improvement,20.122950763291072,Charged Off
14986,36 months,24.03623570846478,300.17252360587764,A,10+ years,OTHER,100820,car,24.637782611185365,Fully Paid
13666,36 months,17.78239875631001,202.51188450311045,G,5-10 years,MORTGAGE,119515,car,7.339651638141391,Fully Paid
39660,60 months,22.358365890400442,738.9439926777346,B,3-5 years,OTHER,29121,small_business,12.639026449000939,Fully Paid
4561,36 months,14.094797112677181,53.571974692433855,D,10+ years,OWN,21539,home_improvement,25.16518010295811,Charged Off
27854,60 months,15.311920571585006,355.4151963341073,E,3-5 years,OWN,111024,car,26.313614029868642,Fully Paid
39952,60 months,14.776931605138405,491.9733095737413,G,< 1 year,RENT,37027,credit_card,7.295399407926778,Fully Paid
23662,36 months,18.337285150922085,361.5807010342653,D,< 1 year,OTHER,147402,small_business,16.517119036240928,Fully Paid
9392,60 months,7.793025095126258,60.99340974452151,E,< 1 year,RENT,94229,debt_consolidation,5.774794519074812,Charged Off
31535,60 months,5.599471797453559,147.14945261058162,A,3-5 years,OTHER,28921,small_business,3.056362924186696,Fully Paid
14067,60 months,11.158598831823818,130.8066748060547,A,10+ years,MORTGAGE,70435,credit_card,27.333615041758726,Fully Paid
24599,60 months,19.093615254732935,391.40320137597956,G,< 1 year,MORTGAGE,142368,home_improvement,24.615225126963274,Fully Paid
36222,60 months,9.037069042458967,272.78392904662394,D,10+ years,RENT,30310,debt_consolidation,22.801047054095218,Fully Paid
12837,60 months,18.468648666498346,197.56836910986604,C,3-5 years,OTHER,83965,debt_consolidation,1.4629895643942126,Charged Off
15039,36 months,24.39824092214541,305.77095435678734,E,10+ years,RENT,142033,home_improvement,25.311863781307725,Fully Paid
31818,60 months,6.878014315788368,182.37054958312856,B,3-5 years,OWN,131048,small_business,13.141322277161512,Charged Off
20115,60 months,18.452042364502525,309.3023601349736,D,3-5 years,RENT,116444,car,10.27185369887579,Fully Paid
11965,60 months,13.875004386091423,138.34535623298655,B,5-10 years,RENT,89922,small_business,16.394290830761292,Fully Paid
25538,36 months,22.362845087550106,475.9186148715455,D,3-5 years,MORTGAGE,117799,credit_card,2.740597281706675,Fully Paid
6056,60 months,8.542995788947717,43.11365208155615,C,3-5 years,RENT,113948,car,22.699396480571966,Fully Paid
33482,36 months,18.85251904452329,526.0167022072741,C,1-3 years,OTHER,102839,small_business,17.473052306648878,Fully Paid
9110,60 months,21.762305792962206,165.21217147823808,G,< 1 year,MORTGAGE,32242,home_improvement,5.597702906195026,Fully Paid
14773,36 months,23.892284389480466,294.1339310714958,G,5-10 years,RENT,137027,credit_card,5.646965993071368,Fully Paid
28266,36 months,18.664960565792917,439.6531461272522,C,5-10 years,OWN,132561,credit_card,5.527459547180227,Fully Paid
18412,60 months,14.943495280168547,229.28302924871943,F,5-10 years,RENT,28947,credit_card,1.7100716265580196,Fully Paid
34270,60 months,17.356944804024277,495.68541536159336,C,1-3 years,RENT,132250,car,17.633953481150545,Charged Off
7910,36 months,22.378099689574363,147.50897378711102,A,3-5 years,RENT,91466,debt_consolidation,25.210445327655243,Fully Paid
26446,60 months,16.412194932776593,361.6974226601749,A,< 1 year,MORTGAGE,123706,car,0.524946419621658,Fully Paid
1206,36 months,5.607741193936738,5.635779899906421,F,10+ years,OTHER,140351,small_business,1.4701393491382064,Fully Paid
22518,36 months,23.618973910139555,443.2100454237687,E,3-5 years,OWN,144749,debt_consolidation,17.183108300608374,Charged Off
23361,36 months,18.790535020631225,365.80474051413836,B,1-3 years,RENT,81816,small_business,24.58487056158157,Charged Off
24419,36 months,18.53026771554493,377.0755061215764,D,3-5 years,OTHER,68785,debt_consolidation,9.802166717059007,Fully Paid
23403,36 months,9.313503047954343,181.6365931927296,D,3-5 years,OTHER,139963,car,10.488431964231665,Charged Off
19141,60 months,18.177709404653143,289.94961309538814,F,1-3 years,MORTGAGE,20507,credit_card,17.890394924903276,Fully Paid
15820,36 months,12.87728811308317,169.76558162414645,A,5-10 years,OWN,86972,home_improvement,8.22638667372441,Fully Paid
7374,36 months,18.02465954082984,110.76153287839936,G,5-10 years,MORTGAGE,47151,credit_card,0.7982509823305239,Charged Off
2678,60 months,7.131860606159814,15.915935586079987,D,< 1 year,OTHER,31618,car,22.05685554304788,Charged Off
34827,36 months,18.156906092060723,526.9588070568324,A,< 1 year,OTHER,94286,debt_consolidation,18.769497388243593,Fully Paid
17198,60 months,24.98827451541333,358.12362093006533,E,5-10 years,OTHER,36122,credit_card,17.422679971669773,Charged Off
10914,60 months,5.964240777211121,54.24476986873514,B,10+ years,MORTGAGE,27354,car,22.250523869754694,Fully Paid
28890,60 months,24.543483684426345,590.8843697025643,E,3-5 years,OWN,129598,small_business,20.256925126861127,Charged Off
23299,36 months,13.138159214457412,255.0883096147027,F,10+ years,RENT,50979,home_improvement,6.1764596453496345,Fully Paid
3693,36 months,22.415069006745185,68.9823748682583,C,3-5 years,MORTGAGE,106436,credit_card,10.574431408300534,Fully Paid
30467,36 months,20.64770968116547,524.228142380057,C,5-10 years,OTHER,99376,debt_consolidation,3.78330425035875,Fully Paid
30723,60 months,16.340325219733355,418.3531764382232,C,< 1 year,MORTGAGE,72774,small_business,3.895710402536431,Fully Paid
4627,36 months,19.768984185026532,76.22590818676481,E,< 1 year,OTHER,122703,car,20.285872390696177,Fully Paid
26939,60 months,22.57031122602696,506.6846784316169,D,10+ years,RENT,25037,home_improvement,25.758003209474946,Fully Paid
22834,36 months,13.082806433020659,248.94400174299474,B,< 1 year,RENT,48633,debt_consolidation,28.88197751583417,Fully Paid
19047,60 months,11.540663231264773,183.1791771382501,C,5-10 years,OWN,44495,car,18.850413526483333,Fully Paid
27105,36 months,18.351867711271694,414.5228119283494,F,10+ years,OTHER,84550,car,5.5230397008287095,Fully Paid
11230,36 months,21.15691883882517,197.99349880000554,F,3-5 years,OWN,101384,credit_card,3.1695103634679214,Fully Paid
16707,36 months,20.245702695532316,281.8707957785487,C,< 1 year,OWN,56483,credit_card,24.385529146102733,Fully Paid
22976,60 months,20.956272977172688,401.2427732695997,C,1-3 years,RENT,133181,debt_consolidation,17.36269429079998,Charged Off
24776,60 months,13.71166629625866,283.1002034634204,B,< 1 year,MORTGAGE,93373,car,18.548550630411597,Charged Off
31080,36 months,21.35668432350043,553.1381239786612,C,3-5 years,MORTGAGE,54069,credit_card,23.443862662641276,Charged Off
2306,36 months,7.404181107412169,14.228368028077051,B,10+ years,OWN,27370,home_improvement,21.09831683197355,Fully Paid
7776,60 months,15.889781959216991,102.96578709572611,F,3-5 years,RENT,139873,home_improvement,25.0337475856829,Charged Off
28251,60 months,5.115173209962432,120.42396529554055,C,1-3 years,OTHER,136843,car,1.6864171637963543,Fully Paid
10474,60 months,11.491716598005405,100.3035330395905,E,5-10 years,MORTGAGE,91947,credit_card,22.425619102395146,Fully Paid
22959,36 months,12.329230697427958,235.8890063185404,G,< 1 year,OWN,59133,debt_consolidation,25.525582719662864,Fully Paid
6530,60 months,12.923453832185107,70.32512793680728,E,10+ years,MORTGAGE,116035,debt_consolidation,8.58405127374943,Charged Off
30320,36 months,18.909344133797244,477.7760951139437,F,5-10 years,MORTGAGE,115761,debt_consolidation,19.213418219797585,Fully Paid
4748,60 months,12.771162025406914,50.5312310805267,B,3-5 years,OTHER,133753,home_improvement,9.424861915109163,Fully Paid
32968,36 months,13.973872452450614,383.90885584365986,E,10+ years,RENT,20692,credit_card,28.73913199447362,Fully Paid
33562,60 months,9.75088261748655,272.7159353400697,B,5-10 years,OTHER,48926,credit_card,1.0027071730651127,Charged Off
14545,60 months,12.465035832586802,151.08662182081252,E,10+ years,RENT,119782,home_improvement,17.39378531498865,Fully Paid
1663,60 months,9.545392545263029,13.228323168977013,E,1-3 years,MORTGAGE,124700,debt_consolidation,4.995106411485453,Fully Paid
35766,60 months,6.463918475368873,192.65709015836924,B,1-3 years,OWN,93984,debt_consolidation,21.36660615531476,Fully Paid
8994,60 months,17.06897186762756,127.93194414786858,D,< 1 year,OTHER,63390,car,5.276708502559862,Fully Paid
29021,36 months,18.364255971100327,444.12422711441883,E,< 1 year,RENT,69593,small_business,7.0614978569507265,Fully Paid
31303,60 months,17.389806920192292,453.6276050189827,C,1-3 years,MORTGAGE,95609,credit_card,14.831124331372742,Fully Paid
4304,60 months,14.269880876011447,51.181306075294394,G,10+ years,RENT,120950,credit_card,27.445048499906342,Charged Off
18675,60 months,12.595715603584596,196.02082408078525,F,1-3 years,RENT,25209,credit_card,6.351431164439125,Fully Paid
24938,36 months,22.266672991436504,462.73857588370294,D,< 1 year,RENT,146700,small_business,4.3272006335431055,Fully Paid
24664,60 months,15.381635702724362,316.1438858099947,B,1-3 years,MORTGAGE,26533,car,22.769304955620917,Fully Paid
2636,36 months,14.58363755259462,32.03539049053285,D,1-3 years,OWN,106597,small_business,15.018585970017929,Fully Paid
21080,60 months,5.512841316128714,96.84224578666108,A,10+ years,OWN,27211,debt_consolidation,27.353553371453142,Fully Paid
28728,60 months,11.824956552523126,283.0894598674036,A,5-10 years,OWN,29927,debt_consolidation,4.3984367147952685,Fully Paid
27736,36 months,12.60391237571714,291.3184280440755,E,< 1 year,RENT,97463,credit_card,19.37783679069118,Fully Paid
29673,60 months,12.97645561793801,320.87530629256213,E,10+ years,MORTGAGE,137333,home_improvement,6.986374384554451,Charged Off
38505,36 months,16.603447384546648,532.7631179516405,C,1-3 years,RENT,44594,credit_card,4.702812859549179,Fully Paid
1854,36 months,15.67205093453757,24.213318693860547,G,1-3 years,OWN,94852,home_improvement,20.502882454718115,Fully Paid
25548,60 months,17.158101855868892,365.29598851144874,F,5-10 years,OWN,97713,small_business,17.810538597261996,Charged Off
39623,36 months,20.297665230842565,670.2119912013958,D,< 1 year,MORTGAGE,96382,debt_consolidation,22.644823750869936,Fully Paid
8392,60 months,21.25971477432187,148.6762719884243,A,< 1 year,RENT,27933,home_improvement,9.283877293385471,Charged Off
22556,60 months,19.362461524529888,363.94973512274674,E,3-5 years,OTHER,123780,small_business,13.439149691465698,Fully Paid
39559,36 months,24.110473919098695,794.8218648046877,F,< 1 year,OTHER,132157,debt_consolidation,12.164150289912554,Fully Paid
27309,36 months,5.364651653527233,122.086060005146,D,5-10 years,OWN,60696,home_improvement,29.522683918995426,Charged Off
22919,36 months,8.915559713670921,170.27976089801987,E,3-5 years,MORTGAGE,85449,credit_card,8.767468702181636,Fully Paid
5931,36 months,5.151257499562842,25.460090191589344,E,3-5 years,RENT,87616,credit_card,8.844517150403007,Fully Paid
33970,60 months,17.949494283092058,508.120267330531,A,1-3 years,RENT,26089,credit_card,10.636446264858222,Charged Off
13688,60 months,22.96061097899974,261.904035900457,A,1-3 years,OWN,76548,small_business,16.937822438709645,Fully Paid
26342,36 months,9.869645931525985,216.65517760688127,E,< 1 year,OWN,46123,credit_card,7.569682327912357,Fully Paid
38157,60 months,23.540690895926133,748.5351187632112,B,3-5 years,RENT,27797,car,27.458698211378216,Fully Paid
3327,60 months,6.205347805791217,17.204326791556145,E,1-3 years,RENT,70013,debt_consolidation,7.970566945987905,Charged Off
1197,60 months,23.688720536110285,23.62949873477001,F,5-10 years,OWN,28346,small_business,26.87447194680584,Charged Off
24509,60 months,12.032453744792688,245.7528406926033,E,1-3 years,RENT,105414,credit_card,3.1042519093975396,Fully Paid
35698,36 months,7.02841656898433,209.08367889966885,C,1-3 years,OTHER,53672,debt_consolidation,19.69688107198957,Fully Paid
16087,36 months,14.717435183726513,197.29948316717366,G,3-5 years,OWN,37653,home_improvement,27.20956555314731,Charged Off
23671,60 months,10.135531354410158,199.93180224186904,C,3-5 years,RENT,69556,credit_card,5.062483151946886,Fully Paid
26184,36 months,10.697458039238457,233.41853441618312,C,10+ years,OWN,143723,debt_consolidation,29.04980880297765,Fully Paid
28848,36 months,11.14579929852573,267.9450151365586,B,5-10 years,MORTGAGE,128278,car,13.586500812465351,Charged Off
21666,36 months,21.060517956653268,380.2476517073748,B,3-5 years,OWN,46140,home_improvement,28.371453253230733,Charged Off
16708,60 months,15.783225533505089,219.75511017816916,E,< 1 year,OWN,21184,car,20.30460130890141,Charged Off
27370,60 months,11.226153983120073,256.0498620983303,C,5-10 years,MORTGAGE,143626,debt_consolidation,9.047606096206547,Fully Paid
3811,60 months,17.206675666218366,54.645534136631824,B,5-10 years,OTHER,54493,car,5.6490757475131925,Fully Paid
7546,36 months,19.32301348446387,121.50954979480365,A,3-5 years,RENT,64148,debt_consolidation,9.11205138675298,Fully Paid
35754,60 months,10.452480014670675,311.43164203711274,E,5-10 years,MORTGAGE,44846,debt_consolidation,2.7905222778802496,Fully Paid
31206,60 months,13.27098203050703,345.1118877033353,F,3-5 years,OWN,131361,car,4.316038990299893,Fully Paid
12411,36 months,7.437721866738951,76.92463840674759,G,1-3 years,RENT,42195,debt_consolidation,3.1398132103944345,Charged Off
3911,60 months,8.622986990693606,28.103751767168916,D,10+ years,MORTGAGE,25606,credit_card,12.688306312246732,Fully Paid
2734,60 months,18.622357079299654,42.42793687900438,E,1-3 years,RENT,23956,debt_consolidation,23.867351287727594,Charged Off
19227,36 months,8.628766953912539,138.25441851906365,D,3-5 years,RENT,36555,small_business,4.241506626490206,Fully Paid
9680,36 months,15.503267673341202,125.05969256495239,C,3-5 years,MORTGAGE,110385,debt_consolidation,3.909612995170076,Fully Paid
20360,36 months,19.180925234448654,325.4363648111455,G,1-3 years,RENT,38690,small_business,19.302868485519923,Fully Paid
19343,60 months,7.137538461894877,115.05117205702716,D,< 1 year,OTHER,78502,debt_consolidation,5.915489459041988,Fully Paid
6759,60 months,16.346244392578072,92.07022154119598,C,< 1 year,MORTGAGE,144586,debt_consolidation,2.9283011432697483,Fully Paid
24078,60 months,10.131255674027276,203.28364509935727,A,< 1 year,OTHER,68849,car,5.005457346167329,Charged Off
36153,36 months,24.258537504751597,730.8490886744038,D,3-5 years,OWN,46347,credit_card,27.711941876303282,Charged Off
12111,36 months,14.670912934398494,148.06618879041682,G,5-10 years,RENT,118725,credit_card,24.644137583285726,Fully Paid
38504,60 months,21.119850995503164,677.6656189423783,E,3-5 years,OWN,123844,home_improvement,10.621936870652823,Fully Paid
2802,60 months,16.004530843125234,37.37057951869742,C,5-10 years,OWN,111321,car,19.674623019821784,Charged Off
9155,36 months,5.868250657096383,44.769862304764494,E,1-3 years,RENT,69056,car,16.118270210041143,Fully Paid
9120,36 months,17.663027511880447,134.2390090902914,G,10+ years,MORTGAGE,83851,credit_card,20.313727904476917,Fully Paid
22918,36 months,24.02806684413314,458.89602994486944,B,5-10 years,RENT,118234,car,20.48013457388278,Fully Paid
21445,36 months,17.032236402926625,304.3802580506346,C,< 1 year,OWN,101502,credit_card,18.862020451799786,Charged Off
31306,60 months,21.383777188535802,557.8671072202516,D,3-5 years,OWN,116633,car,7.983041056119258,Fully Paid
17646,36 months,22.684129266968156,333.57012087076674,C,1-3 years,MORTGAGE,101418,debt_consolidation,1.1701926228845438,Fully Paid
32065,60 months,9.56159543897865,255.49379812570865,E,< 1 year,RENT,90211,credit_card,13.667003459703263,Charged Off
26199,60 months,9.240896798164533,201.75187934592716,A,1-3 years,OWN,61850,credit_card,26.729216540721115,Fully Paid
17371,60 months,17.219619777019837,249.26834595550966,C,10+ years,OTHER,98545,small_business,17.084917755557278,Fully Paid
12835,36 months,13.220569396134094,141.40500683281758,D,3-5 years,OWN,47843,car,24.97173125105724,Fully Paid
3049,36 months,21.797226057334406,55.383118540677174,B,3-5 years,OWN,82320,car,29.748730288836846,Charged Off
32616,36 months,23.000462467960222,625.1525698791588,F,10+ years,MORTGAGE,49793,credit_card,4.908486124148288,Fully Paid
39191,36 months,12.068427586054362,394.1447879375471,A,3-5 years,OTHER,59516,debt_consolidation,20.75332917425947,Charged Off
21932,60 months,9.73741117948964,177.96741832380567,B,5-10 years,OWN,124407,debt_consolidation,20.22880721100074,Fully Paid
30855,36 months,20.610510304877238,529.9477462141559,C,1-3 years,OWN,149045,debt_consolidation,29.398663420748353,Fully Paid
8158,36 months,10.496120710962721,71.35612730002823,E,< 1 year,OTHER,37857,car,29.56802201858401,Charged Off
8400,60 months,21.45228637027357,150.16600459191497,G,10+ years,RENT,39627,small_business,20.600358351723884,Fully Paid
16151,36 months,13.474765072975256,181.3591089113528,E,5-10 years,RENT,81822,credit_card,7.308443759465828,Fully Paid
2154,60 months,18.35099798582941,32.94004138456379,D,< 1 year,OWN,104101,home_improvement,23.95667514391797,Fully Paid
5499,60 months,6.910706276693364,31.66831151294734,E,< 1 year,OWN,111561,small_business,3.210874026331143,Fully Paid
7295,60 months,17.477186493531462,106.24672955859336,A,10+ years,RENT,72248,home_improvement,23.42097912514886,Fully Paid
13183,60 months,14.035353574744583,154.1900551465482,E,5-10 years,MORTGAGE,75798,small_business,27.30588372434089,Fully Paid
30299,60 months,16.732169263509483,422.47333042922816,D,< 1 year,OTHER,113368,debt_consolidation,11.485001843053057,Fully Paid
13874,60 months,8.360284154897268,96.65881863753725,F,< 1 year,OTHER,64116,car,18.919058849492416,Charged Off
33711,60 months,19.73747489888364,554.4750135968886,C,5-10 years,MORTGAGE,95318,home_improvement,12.90428196290479,Fully Paid
6539,60 months,22.25594155086457,121.27633483425285,G,3-5 years,MORTGAGE,124186,small_business,13.132951649643854,Charged Off
3557,36 months,9.334796001815512,27.669891148714814,C,< 1 year,MORTGAGE,147119,car,9.311126673243601,Fully Paid
39360,36 months,6.9142911104032345,226.78874842122607,E,1-3 years,MORTGAGE,107902,home_improvement,22.86388861350974,Fully Paid
17482,36 months,5.472771720926728,79.72916268770088,B,5-10 years,MORTGAGE,48557,credit_card,28.085296924995156,Fully Paid
3200,36 months,17.83943000886532,47.57181335697419,C,< 1 year,MORTGAGE,91334,small_business,28.222525777033834,Fully Paid
3961,60 months,17.141880721775614,56.58249128246101,F,10+ years,OTHER,95163,credit_card,5.243438546248015,Fully Paid
